BTC,Date,Closing Price (USD)
BTC,3/22/2021,54329.35863
BTC,3/23/2021,54794.29771
BTC,3/24/2021,52787.74553
BTC,3/25/2021,52173.86798
BTC,3/26/2021,54483.04573
BTC,3/27/2021,56234.35611
BTC,3/29/2021,55343.92582
BTC,3/30/2021,57627.67925
BTC,3/31/2021,58734.47543
BTC,4/1/2021,58724.66452
BTC,4/2/2021,58984.61293
BTC,4/3/2021,58821.62699
BTC,4/4/2021,57517.79877
BTC,4/5/2021,58177.40276
BTC,4/6/2021,58843.55954
BTC,4/7/2021,58040.1876
BTC,4/8/2021,56508.94286
BTC,4/9/2021,57880.90568
BTC,4/10/2021,58171.90902
BTC,4/11/2021,59295.95004
BTC,4/12/2021,59893.45313
BTC,4/13/2021,63503.45703
BTC,4/14/2021,63109.69531
BTC,4/15/2021,63314.01172
BTC,4/16/2021,61572.78906
BTC,4/17/2021,60683.82031
BTC,4/18/2021,56216.18359
BTC,4/19/2021,55724.26563
BTC,4/20/2021,56473.03125
BTC,4/21/2021,53906.08984
BTC,4/22/2021,51762.27344
BTC,4/23/2021,51093.65234
BTC,4/24/2021,50050.86719
BTC,4/25/2021,49004.25391
BTC,4/26/2021,54021.75391
BTC,4/27/2021,55033.11719
BTC,4/28/2021,54824.70313
BTC,4/29/2021,53555.10938
BTC,4/30/2021,57750.17578
BTC,5/1/2021,57828.05078
BTC,5/2/2021,56631.07813
BTC,5/3/2021,57200.29297
BTC,5/4/2021,53333.53906
BTC,5/5/2021,57424.00781
BTC,5/6/2021,56396.51563
BTC,5/7/2021,57356.40234
BTC,5/8/2021,58803.77734
BTC,5/9/2021,58232.31641
BTC,5/10/2021,55859.79688
BTC,5/11/2021,56704.57422
BTC,5/12/2021,49150.53516
BTC,5/13/2021,49716.19141
BTC,5/14/2021,49880.53516
BTC,5/15/2021,46760.1875
BTC,5/16/2021,46456.05859
BTC,5/17/2021,43537.51172
BTC,5/18/2021,42909.40234
BTC,5/19/2021,37002.44141
BTC,5/20/2021,40782.73828
BTC,5/21/2021,37304.69141
BTC,5/22/2021,37536.63281
BTC,5/23/2021,34770.58203
BTC,5/24/2021,38705.98047
BTC,5/25/2021,38402.22266
BTC,5/26/2021,39294.19922
BTC,5/27/2021,38436.96875
BTC,5/28/2021,35697.60547
BTC,5/29/2021,34616.06641
BTC,5/30/2021,35678.12891
BTC,5/31/2021,37332.85547
BTC,6/1/2021,36684.92578
BTC,6/2/2021,37575.17969
BTC,6/3/2021,39208.76563
BTC,6/4/2021,36894.40625
BTC,6/5/2021,35551.95703
BTC,6/6/2021,35862.37891
BTC,6/7/2021,33560.70703
BTC,6/8/2021,33472.63281
BTC,6/9/2021,37345.12109
BTC,6/10/2021,36702.59766
BTC,6/11/2021,37334.39844
BTC,6/12/2021,35552.51563
BTC,6/13/2021,39097.85938
BTC,6/14/2021,40218.47656
BTC,6/15/2021,40406.26953
BTC,6/16/2021,38347.0625
BTC,6/17/2021,38053.50391
BTC,6/18/2021,35787.24609
BTC,6/19/2021,35615.87109
BTC,6/20/2021,35698.29688
